Source: https://sites.google.com/site/wheeloffortunepuzzlecompendium/home/compendium/season-32-compendium
NUMBER OF PUZZLES:1648
CATEGORY|PUZZLE
Things|CLASSROOM RULES
Around the House|TABLECLOTH & NAPKINS
Phrase|A LEGEND IN THE MAKING
Before & After|RAISE YOUR HAND PUPPET
Places|LAGOONS BAYS AND REEFS
Title|CHARLOTTE'S WEB
What Are You Doing?|GETTING ORGANIZED
Thing|VALIDATION
Phrase|LET'S BRAINSTORM
Thing|A SENSE OF HUMOR
What Are You Doing?|LOOKING THROUGH A MICROSCOPE
Quotation|ABSENCE MAKES THE HEART GROW FONDER
Place|SPECTACULAR OCEANFRONT PLAYGROUND
Rhyme Time|NEWS AND VIEWS
Occupation|HEAD LIBRARIAN
Food & Drink|A BOWL OF FRUIT
Phrase|PLEASE WAIT YOUR TURN
Living Things|EVERGREEN TREES
Title|THE COMPLETE WORKS OF WILLIAM SHAKESPEARE
Same Letter|PENS PENCILS & PAPER
Places|EXCEPTIONAL WILDLIFE PRESERVES
On the Map|THE PACIFIC OCEAN
Things|AWARDS AND CERTIFICATES
Thing|LOUD LAUGHTER
Thing|SEATING CHART
Living Things|FLOCK OF SHEEP
Title|LITTLE HOUSE ON THE PRAIRIE
Before & After|YOU SHOOK ME ALL NIGHT LONG DIVISION
Landmark|POLYNESIAN CULTURAL CENTER
Food & Drink|BEEFSTEAK TOMATOES
Person|BLUE-RIBBON WINNER
Thing|ICONIC GAME
Event|THE LAST DAY OF SCHOOL
Food & Drink|WHIPPED CREAM
Thing|RECOMMENDED READING LIST
Before & After|STUDENT BODY LANGUAGE
Phrase|THERE GOES MY PERFECT ATTENDANCE
Show Biz|GREATEST HITS ALBUM
What Are You Doing?|SLIDING DOWN THE BANISTER
Food & Drink|PIPING HOT BISCUIT
On the Map|SEATTLE WASHINGTON
Living Thing|GREAT HORNED OWL
Movie Title|DAWN OF THE PLANET OF THE APES
Before & After|GO TELL IT ON THE MOUNTAIN GOAT
Place|INCREDIBLE BEACHFRONT PROPERTY
Song Title|BENNIE AND THE JETS
Phrase|THE EXCEPTION TO THE RULE
Event|JAZZ FESTIVAL
Living Things|BALD EAGLES
Characters|CLARK KENT & LOIS LANE
What Are You Doing?|PACKING DEHYDRATED FOOD
Before & After|BOUNCY FLIGHT ATTENDANT
Phrase|CLEAN QUIET & PICTURESQUE
Food & Drink|COFFEE WITH CREAM & SUGAR
Occupation|MOVIE THEATER USHER
Living Things|ADORABLE PUPPIES
Food & Drink|CRUNCHY GRANOLA BAR
Rhyme Time|WE MADE THE GRADE
Before & After|THE LIFE OF THE PARTY POOPER
